metroscuadradostotales,precio,titulo,latitud,longitud,preciomt2,categoria
337,329000,"Linda Casa, Km 5 Sobre La Vía a Samborondon",-2.1170338,-79.87147010000001,976.2611275964392,B
453,425000,"Hermosa Casa en Laguna del Sol, Via a Samborondon",-2.080773805194784,-79.87264689580081,938.1898454746137,B
423,689000,Casa - Samborondón,-2.1709979,-79.9223592,1628.8416075650118,A
120,52000,Pradera 1 - Villa 4 Dorm. 4 Baños,-2.238747412959437,-79.89123975033186,433.3333333333333,C
502,349000,"Casa 3 Dormit + Estudio + Sala Musica - Us$349,000",-2.114834,-79.8681618,695.2191235059761,B
420,380000,"Casa Proyecto en Venta, Isla Mocoli, Samborondón Ciudadela Isla del Rio",-2.0994643,-79.86449670000002,904.7619047619048,B
250,135000,Casa de Venta en Bellavista,-2.185783730340475,-79.91440317529418,540.0,B
101,55000,De Oportunidad Casa en Venta en Sauces,-2.125083855262901,-79.89743211586915,544.5544554455446,B
243,245000,Casa Isla Celeste Etapa Estribor,-2.189412799999999,-79.8890662,1008.2304526748972,A
56,41900,Vendo Casa de Dos Plantas con Estacionamiento en Ciudad Santiago - Guayaquil - F. Rodríguez,-2.024561619524212,-79.94286473596799,748.2142857142857,B
456,268900,Venta de Casa en La Urb. Los Senderos - Mae. Recalde,-2.1675008,-79.93569439999999,589.6929824561404,B
138,130000,Amplia Casa en Sauces 9,-2.130761314839407,-79.8938744830117,942.0289855072464,B
523,370000,Los Parques Casa en Venta,-2.1731919,-79.9437532,707.4569789674953,B
225,190000,"Vendo Excelente Villa en Ciudad Celeste, Via Samborondón.",-2.1070207,-79.87232990000001,844.4444444444445,B
316,340000,Casa - Samborondón,-2.107305499999999,-79.872252,1075.9493670886077,A
120,59990,En Venta Casa en Ciudadela Las Orquídeas - K. Salamea,-2.0860551,-79.91385889999998,499.9166666666667,C
1088,860000,"Hermosa Casa en Urb Exclusiva, Via Samborondon",-2.102442901125957,-79.8670732875496,790.4411764705883,B
120,87718,Casa de Venta por Estrenar en La Urbanización l'Ogare,-2.0169076,-79.866398,730.9833333333333,B
263,239500,"Casa Bifamiliar de 263 m² en Puerto Azul, Via a La Costa. Parque, Acabados Lujo",-2.187841308004728,-79.96819902660462,910.6463878326996,B
132,137000,Casa Hermosa en Villa Club.,-2.0342721,-79.89789830000001,1037.878787878788,A
